uid,rq_index,rq_text,step_1_label,step_1_url,step_1_purpose,step_2_label,step_2_url,step_2_purpose,step_3_label,step_3_url,step_3_tag,step_3_purpose,completion_goal,path_rule_version
U0,1,同一性判定を『観測一致』と『介入応答一致』に分離したとき、どちらを必要条件・十分条件に置くか。,Step1: まず必須1,https://doi.org/10.1017/9781009486309.002,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.2139/ssrn.4560723,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1007/s11229-024-04744-3,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U0,2,時間同期（ms単位）と状態表現（行動・神経活動・生理）の対応をどう固定するか。,Step1: まず必須1,https://doi.org/10.1017/9781009486309.002,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.2139/ssrn.4560723,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1007/s11229-024-04744-3,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U0,3,同一性判定の閾値をタスク別にどう設定し、過学習モデルをどう除外するか。,Step1: まず必須1,https://doi.org/10.1017/9781009486309.002,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.2139/ssrn.4560723,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1007/s11229-024-04744-3,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U0,4,分岐/複製ケースでの『同一個体』定義をどの評価軸に帰着させるか。,Step1: まず必須1,https://doi.org/10.1017/9781009486309.002,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.2139/ssrn.4560723,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1007/s11229-024-04744-3,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U1,1,EEG/MEG逆問題での不良設定性を、どの事前分布で制御するか。,Step1: まず必須1,https://doi.org/10.1109/JSEN.2024.3502917,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.1088/1361-6420/acf9c6,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1088/2057-1976/aca20b,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U1,2,頭蓋導電率・電極配置・ノイズ構造の不確実性を、推定不確実性へどう伝播させるか。,Step1: まず必須1,https://doi.org/10.1109/JSEN.2024.3502917,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.1088/1361-6420/acf9c6,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1088/2057-1976/aca20b,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U1,3,"同じデータで異なる逆解法（MNE, beamformer, Champagne 等）が乖離した場合の判定規則をどう置くか。",Step1: まず必須1,https://doi.org/10.1109/JSEN.2024.3502917,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.1088/1361-6420/acf9c6,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1088/2057-1976/aca20b,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U1,4,推定値だけでなく、信頼区間/後方分布を公開基準に含めるか。,Step1: まず必須1,https://doi.org/10.1109/JSEN.2024.3502917,対象RQの主要枠組みを把握,Step2: 次に必須2,https://doi.org/10.1088/1361-6420/acf9c6,比較・検証条件を補完,Step3: 最後に補助1,https://doi.org/10.1088/2057-1976/aca20b,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U3,1,ニューロン中心モデルに対して、グリア/体液性調節を追加した際の予測改善量をどう測るか。,Step1: まず必須1,https://www.nature.com/articles/s41586-023-06808-9,対象RQの主要枠組みを把握,Step2: 次に必須2,https://pubmed.ncbi.nlm.nih.gov/39902809/,比較・検証条件を補完,Step3: 最後に補助1,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
U3,2,connectome完全性と機能予測性能の関係を、種横断でどう比較するか。,Step1: まず必須1,https://www.nature.com/articles/s41586-023-06808-9,対象RQの主要枠組みを把握,Step2: 次に必須2,https://pubmed.ncbi.nlm.nih.gov/39902809/,比較・検証条件を補完,Step3: 最後に補助1,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,境界条件や比較結果の補強,実験的根拠の補強と反証条件の確認,round17-v1
