uid,rq_index,rq_text,readiness_status,current_decision_round26,text_to_apply_now_ja,required_evidence_ja,next_monitor_due_utc,next_repo_action_ja,source_round27_template,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,ready_no_change_apply,本文据え置き（実体更新なし）,【U12-RQ1 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,ready_no_change_apply,本文据え置き（実体更新なし）,【U12-RQ2 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,ready_no_change_apply,本文据え置き（実体更新なし）,【U12-RQ3 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,ready_no_change_apply,本文据え置き（実体更新なし）,【U12-RQ4 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,ready_no_change_apply,本文据え置き（実体更新なし）,【U12-RQ5 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,ready_no_change_apply,本文据え置き（実体更新なし）,【U12-RQ6 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,ready_no_change_apply,本文据え置き（差分なし）,【U15-RQ1 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,2,neurorightsを技術監査項目へどう写像するか。,ready_no_change_apply,本文据え置き（差分なし）,【U15-RQ2 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,ready_no_change_apply,本文据え置き（差分なし）,【U15-RQ3 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,ready_no_change_apply,本文据え置き（差分なし）,【U15-RQ4 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),2026-03-08T14:38:23Z,本文据え置き文を監査導線直下へ記録（差分ログ参照）,rq_regulation_update_text_template_round27_2026-03-01.csv,2026-03-01T14:43:35Z
