uid,rq_index,rq_text,old_url,new_url,applied_in_file,applied_scope,applied_at_utc,basis_round21,basis_round22
U12,1,分岐後主体の識別子を何に基づいて付与するか。,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,2,neurorightsを技術監査項目へどう写像するか。,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
