uid,rq_index,rq_text,round5_status,round5_added_sources,round5_takeaway,next_internal_change,external_dependency
U10,1,Landauer下限を神経計算でどう適用/解釈するか。,done,https://doi.org/10.3390/e26090779 | https://arxiv.org/abs/2502.03603,Landauer下限と実測コストは分離して扱う必要がある。,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート"
U10,2,非平衡熱力学指標と神経情報処理効率の対応をどう定義するか。,done,https://doi.org/10.1103/PhysRevE.107.024121 | https://doi.org/10.1016/j.tics.2024.03.009,散逸指標と意識レベルは相関があるが因果は未確定。,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート"
U10,3,理論式を実データ（神経活動・代謝）へ落とし込む観測設計をどう作るか。,done,https://doi.org/10.1016/j.neubiorev.2023.105070 | https://doi.org/10.3390/e26090779,神経活動と代謝の同時計測が観測設計の鍵。,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート"
U10,4,WBE計算コスト評価に熱力学制約をどう統合するか。,done,https://doi.org/10.3390/e26090779 | https://arxiv.org/abs/2502.03603,WBEコストは計算コストと熱コストの二層管理が必要。,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート"
U11,1,理論間で比較可能な入出力仕様をどう定義するか。,done,https://doi.org/10.1038/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577,理論比較は共通入力仕様を固定しないと成立しない。,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開"
U11,2,PCIやIIT近似計算の計算量制約をどう扱うか。,done,https://doi.org/10.1093/nc/niad016 | https://doi.org/10.3390/e25020334,近似計算の妥当域を明示しない運用は危険。,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開"
U11,3,理論予測の対立点を単一実験計画へどう落とすか。,done,https://doi.org/10.1038/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577,対立予測の事前固定が解釈バイアスを減らす。,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開"
U11,4,意識指標を臨床/研究で運用する際の失敗条件をどう明示するか。,done,https://doi.org/10.1186/s12984-024-01455-1 | https://doi.org/10.1016/j.neuron.2024.03.002,偽陽性/偽陰性を先に定義する必要がある。,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開"
U12,1,分岐後主体の識別子を何に基づいて付与するか。,done,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,主体IDは責任追跡可能性とセットで設計すべき。,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開"
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,done,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,権利・責任の継承時点を法的イベントとして固定する必要。,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開"
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,done,https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,心理基準と法基準の不一致時に裁定ルートが必要。,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開"
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,done,https://doi.org/10.1016/j.patter.2023.100861 | https://www.iso.org/standard/42001,性能KPIと帰属KPIの二系統管理が必要。,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開"
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,done,https://doi.org/10.1007/s00146-025-02796-8 | https://oecd.ai/en/ai-principles,記憶再同期時のID再編ルールを事前に定める必要。,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開"
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,done,https://doi.org/10.6028/NIST.AI.600-1 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,同意撤回の監査には遅延と残留権限の計測が必須。,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開"
