uid,rq_index,rq_text,focus_note_plain,must_read_1,must_read_2,supplementary_1,metric_candidates,repository_followup,this_round_action,external_dependency_task,evidence_confidence,source_round_doc
U0,1,同一性判定を『観測一致』と『介入応答一致』に分離したとき、どちらを必要条件・十分条件に置くか。,「観測一致だけでは足りない」という方向は強いですが、介入一致をどう必要条件化するかは未合意です。,https://doi.org/10.31219/osf.io/sr7cf,https://arxiv.org/abs/2510.15745,,介入一致率; 反事実一致率; 長期ドリフト率; 介入効果量; do推定誤差,research_harvest_50.md に同一性判定テンプレを追記,U0判定テンプレに「観測一致」「介入一致」を別項目として固定する下書きを作成します。,担当: 法務/倫理WG。前提: 分岐時責任の原則合意。完了条件: 判定規約v1承認。,中 (理論中心、実験ベンチ不足),research_deepening_round2_2026-03-01.md#u0
U0,2,時間同期（ms単位）と状態表現（行動・神経活動・生理）の対応をどう固定するか。,ms同期と状態表現の固定は技術側で定義できますが、同一性判定へどう重み付けするかは理論側の未解決です。,https://doi.org/10.1093/acprof:oso/9780198754855.003.0013,https://doi.org/10.1017/9781009367059.009,,介入一致率; 反事実一致率; 長期ドリフト率; 時刻ずれ(ms); ジッタ分散,research_harvest_50.md に同一性判定テンプレを追記,同期誤差を数値で残すため、U0の評価欄に「時刻ずれ(ms)」を追加します。,担当: 計測チーム。前提: 同期計測手順の標準化。完了条件: 監査可能な同期ログ様式確定。,中 (理論中心、実験ベンチ不足),research_deepening_round2_2026-03-01.md#u0
U0,3,同一性判定の閾値をタスク別にどう設定し、過学習モデルをどう除外するか。,閾値設計（どこから同一とみなすか）は、哲学文献は豊富でも実験設計に直結する共通規約が不足しています。,https://doi.org/10.1007/s11229-024-04744-3,https://doi.org/10.2139/ssrn.2596460,,介入一致率; 反事実一致率; 長期ドリフト率; 閾値感度; ROC-AUC; 除外判定一致率; データ保持率,research_harvest_50.md に同一性判定テンプレを追記,U0に ROC-AUC と閾値感度を入れた最小評価シートをCSV化します。,担当: 評価設計WG。前提: 最低タスクセット合意。完了条件: 閾値感度分析の再現レポート。,中 (理論中心、実験ベンチ不足),research_deepening_round2_2026-03-01.md#u0
U0,4,分岐/複製ケースでの『同一個体』定義をどの評価軸に帰着させるか。,分岐/複製での同一性は、性能評価だけでは決まらず、責任追跡IDの運用設計が不可欠です。,https://doi.org/10.1017/9781009486309.002,https://doi.org/10.1016/j.patter.2023.100861,,介入一致率; 反事実一致率; 長期ドリフト率; ID衝突率; 責任追跡率,research_harvest_50.md に同一性判定テンプレを追記,U0 RQ4に ID衝突率・責任追跡率を必須指標として明記します。,担当: 法務/ガバナンスWG。前提: ID再編ポリシー草案。完了条件: 分岐ID監査運用の承認。,中 (理論中心、実験ベンチ不足),research_deepening_round2_2026-03-01.md#u0
U1,1,EEG/MEG逆問題での不良設定性を、どの事前分布で制御するか。,「不確実性つき推定」を標準にする流れは強く、点推定のみの報告は弱くなっています。,https://pubmed.ncbi.nlm.nih.gov/38545514/,https://doi.org/10.1109/JSEN.2024.3502917,,位置誤差(mm); 事後分布幅; 手法間一致率,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,U1の標準出力に「事後分布幅」を必須欄として追加します。,担当: 計測チーム。前提: ベイズ推定実装の統一。完了条件: 全手法で同形式の不確実性出力。,中〜高 (方法論豊富、横断ベンチ不足),research_deepening_round2_2026-03-01.md#u1
U1,2,頭蓋導電率・電極配置・ノイズ構造の不確実性を、推定不確実性へどう伝播させるか。,導電率不確実性の影響は、EEG/MEGの両方で直近研究が再確認しています。,https://pubmed.ncbi.nlm.nih.gov/38532791/,https://pubmed.ncbi.nlm.nih.gov/41308490/,,位置誤差(mm); 事後分布幅; 手法間一致率,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,導電率感度を「必須感度解析」としてU1テンプレに追記します。,担当: 計測/物理モデル班。前提: 頭部モデル取得。完了条件: 感度解析結果の公開。,中〜高 (方法論豊富、横断ベンチ不足),research_deepening_round2_2026-03-01.md#u1
U1,3,"同じデータで異なる逆解法（MNE, beamformer, Champagne 等）が乖離した場合の判定規則をどう置くか。",MNE/beamformer/Champagneの乖離は依然発生し、裁定ルールなしでは結論が動きます。,https://doi.org/10.1109/SAMPTA64769.2025.11133512,https://pubmed.ncbi.nlm.nih.gov/39423516/,,位置誤差(mm); 事後分布幅; 手法間一致率,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,手法間乖離時の裁定（多数決ではなく誤差境界比較）ルール案を追加します。,担当: 解析WG。前提: 同一データ再解析。完了条件: 裁定ルール検証レポート。,中〜高 (方法論豊富、横断ベンチ不足),research_deepening_round2_2026-03-01.md#u1
U1,4,推定値だけでなく、信頼区間/後方分布を公開基準に含めるか。,信頼区間/後方分布の公開は「推奨」ではなく、再現性上ほぼ必須に近づいています。,https://doi.org/10.1088/2057-1976/aca20b,https://pubmed.ncbi.nlm.nih.gov/41411682/,,位置誤差(mm); 事後分布幅; 手法間一致率,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,U1公開要件に「95%区間」「後方分布共有リンク」を追加します。,担当: データ公開WG。前提: 共有フォーマット合意。完了条件: 追試で同区間再現。,中〜高 (方法論豊富、横断ベンチ不足),research_deepening_round2_2026-03-01.md#u1
U4,1,観測データ由来の相関を因果グラフへ持ち上げる識別条件は何か。,相関から因果へ進むには、構造仮定と識別条件を明示しないと、同じデータから別結論が出ます。,https://doi.org/10.1038/s41583-024-00881-3,https://doi.org/10.1016/j.neuroimage.2024.120954,,介入効果一致率; 因果辺再現率; 反証率,因果同値の失敗条件チェックリストを verification.md に追記,U4に「識別条件を明示しない主張は採択しない」監査チェックを追加します。,担当: 実験設計チーム。前提: 介入設計レビュー会の合意。完了条件: 因果主張テンプレの承認。,中 (方法論あり、介入標準不足),research_deepening_round3_2026-03-01.md#u4
U4,2,介入実験（刺激・抑制・入力撹乱）で検証可能な最小因果主張は何か。,最小因果主張は、実際に介入して差分が再現されること（反復可能）が必要です。,https://doi.org/10.1109/TMI.2024.3381670,https://doi.org/10.1001/jamanetworkopen.2024.9220,,介入効果一致率; 因果辺再現率; 反証率; 介入効果量; do推定誤差,因果同値の失敗条件チェックリストを verification.md に追記,U4 RQ2に「介入効果の反復再現（別セッション）」を必須欄として追加します。,担当: 臨床/実験チーム。前提: 介入プロトコル承認。完了条件: 反復介入レポート公開。,中 (方法論あり、介入標準不足),research_deepening_round3_2026-03-01.md#u4
