uid,rq_index,rq_text,step_1_url,step_1_jurisdiction,step_2_url,step_2_jurisdiction,step_3_url,step_3_jurisdiction,jurisdiction_combo,update_audit_flag,label_rule
U12,1,分岐後主体の識別子を何に基づいて付与するか。,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
U15,2,neurorightsを技術監査項目へどう写像するか。,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
