uid,rq_index,rq_text,previous_drift_score,rechecked_drift_score,drift_threshold,delta_score,escalation_status,next_step_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,18,19,40,+1,keep_watch,定義語改訂行の次窓確認を継続,2026-03-01T19:45:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,14,15,40,+1,keep_watch,時点語版更新有無の定期確認を継続,2026-03-01T19:45:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,26,27,40,+1,keep_watch,条件語変化の先行確認を継続,2026-03-01T19:45:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,16,16,40,0,keep_watch,監査語追加有無の定期確認を継続,2026-03-01T19:45:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,22,23,40,+1,keep_watch,同義語追加有無の定期確認を継続,2026-03-01T19:45:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,20,20,40,0,keep_watch,表記世代更新有無の定期確認を継続,2026-03-01T19:45:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,24,25,40,+1,keep_watch,法文定義改訂の先行確認を継続,2026-03-01T19:45:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,19,19,40,0,keep_watch,写像語粒度更新の定期確認を継続,2026-03-01T19:45:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,28,29,40,+1,keep_watch,共通三要件変化の先行確認を継続,2026-03-01T19:45:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,17,18,40,+1,keep_watch,周期語公式追記の定期確認を継続,2026-03-01T19:45:10Z
