uid,rq_index,supplementary_1,domain,source_class,quality_grade,assessment_note,recommended_action,basis
U0,1,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U0,2,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U0,3,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U0,4,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U1,1,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U1,2,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U1,3,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U1,4,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U3,1,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,PubMed収載。本文の研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U3,2,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,PubMed収載。本文の研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U3,3,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,PubMed収載。本文の研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U3,4,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,PubMed収載。本文の研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U3,5,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,PubMed収載。本文の研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U3,6,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,PubMed収載。本文の研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U4,1,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U4,2,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U4,3,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U4,4,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U7,1,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U7,2,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U7,3,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U7,4,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U7,5,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U7,6,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U8,1,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
