uid,rq_index,rq_text,residual_risk_ja,risk_level,impact_scope_ja,current_control_ja,additional_control_ja,recheck_timing_utc,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,見出しは一致しても定義語が将来改訂で揺れる可能性,medium,U12識別判定,Round36照合マップとRound37解消行列,改訂履歴差分の自動記録を追加,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,開始時点語と分岐時点語の境界が運用文書で揺れる可能性,medium,U12継承判定,時点語正規化と再判定手順,時点語対照表へ版番号列を追加,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,公式条項差分が確認しづらい場合に保留が長引く可能性,high,U12衝突解決判定,公式文書優先とE3エスカレーション,条項抽出失敗ログの再試行回数を固定,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,接続語と監査語の粒度差で据え置きが続く可能性,medium,U12接続要件判定,不足語補完と再照合,不足語リストを監視チェックへ統合,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,同義語の追加で判定基準が拡散する可能性,medium,U12再編判定,同義語正規化表の更新,同義語表に採用根拠URL列を追加,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,新旧表記混在で証跡追跡が分断される可能性,medium,U12撤回判定,表記世代統一と証跡補完,表記対照の更新履歴列を追加,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,法文とニュース記述のタイムラグで誤読する可能性,low,U15法的区分判定,法文優先据え置き規則,ニュース差分は補助注記のみ許可,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,2,neurorightsを技術監査項目へどう写像するか。,監査項目粒度の不一致で更新判断が遅延する可能性,medium,U15写像判定,粒度対応表と再判定,粒度対応表に未解決タグ列を追加,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,共通三要件抽出が失敗し保留が継続する可能性,high,U15共通要件判定,三要件ルールとE3エスカレーション,抽出条件に優先法域順を追加,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,再評価周期語が公式側未更新で停滞する可能性,medium,U15停止条件判定,周期語再確認と保留管理,周期語未確認時の再試行間隔を固定,2026-03-08T14:38:23Z,2026-03-01T17:18:45Z
