uid,rq_index,rq_text,round6_status,round6_added_sources,round6_takeaway,next_internal_change,external_dependency
U13,1,brain-to-text成功を『意味復元』と『因果再現』へ分解できるか。,done,https://doi.org/10.1038/s41593-023-01304-9 | https://doi.org/10.1016/j.celrep.2024.114924,意味一致と因果一致を分けて評価する必要がある。,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開"
U13,2,LLMの幻覚・整合性検査を神経デコード評価へどう接続するか。,done,https://arxiv.org/abs/2506.22486 | https://doi.org/10.1609/aaai.v39i27.35124,幻覚検査は有効だが因果保存の代替にはならない。,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開"
U13,3,同一出力でも内部機構が異なるケースをどう検出するか。,done,https://doi.org/10.1038/s42256-020-00257-z | https://doi.org/10.1609/aaai.v39i27.35124,同一出力・異機構問題にshortcut監査が必要。,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開"
U13,4,模倣性能の上限を因果評価でどこまで抑制できるか。,done,https://doi.org/10.1609/aaai.v39i17.33998 | https://doi.org/10.1016/j.knosys.2025.113565,模倣スコア単独での合格判定は避けるべき。,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開"
U13,5,視覚知覚と視覚想起で同一デコーダを使ったとき、意味復元精度の劣化パターンはどこで分岐するか。,done,https://doi.org/10.1109/EMBC58623.2025.11251641 | https://doi.org/10.1109/EMBC53108.2024.10782730,知覚/想起の分岐点を同一デコーダで比較可能。,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開"
U13,6,プロンプト誘導・データリーク・shortcut学習を分離検出する対照実験をどう設計するか。,done,https://arxiv.org/abs/2506.22486 | https://doi.org/10.1038/s42256-020-00257-z,リーク・誘導・shortcutを対照条件で分離検出すべき。,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開"
U14,1,データ/コード/評価環境の固定粒度をどこまで要求するか。,done,https://doi.org/10.1016/j.jneumeth.2023.109931 | https://doi.org/10.1038/s41597-024-03559-8,固定粒度を事前定義しない追試は不安定。,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開"
U14,2,探索研究と検証研究を運用上どう分離するか。,done,https://doi.org/10.7554/eLife.85980 | https://doi.org/10.1001/jama.2025.13350,探索と検証は報告テンプレを分離すべき。,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開"
U14,3,leaderboardでのリーク・過適合・報告バイアスをどう監査するか。,done,https://doi.org/10.1038/s41597-023-02614-0 | https://doi.org/10.1002/epi4.12704,リーク監査と外部テスト乖離監査を分ける必要。,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開"
U14,4,Model Card / Dataset Card を評価契約へどう統合するか。,done,https://bids-specification.readthedocs.io/en/stable/ | https://zenodo.org/records/18201723,Model/Dataset Cardの契約統合で説明責任が上がる。,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開"
U14,5,再現失敗ケースを否定例レジストリとして公開し、再試行サイクルをどう運用するか。,done,https://doi.org/10.1016/j.jneumeth.2023.109931 | https://doi.org/10.7554/eLife.85980,否定例レジストリがないと失敗が再発する。,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開"
U14,6,コンテナ固定（OS・依存ライブラリ・乱数種）を必須化した場合、再現コスト増分をどこまで許容するか。,done,https://arxiv.org/abs/2311.04912 | https://doi.org/10.1038/s41597-024-03559-8,コンテナ固定はコスト上限を同時に管理する必要。,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開"
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,done,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1016/S1474-4422(25)00124-3,神経データの法概念マッピングを先に固定すべき。,制度統合KPIマトリクスを proposals.md に追加,"担当: ガバナンス委員会, 前提: 法域マッピング, 完了条件: 監査基準と停止条件の運用承認"
U15,2,neurorightsを技術監査項目へどう写像するか。,done,https://doi.org/10.1093/jhuman/huae042 | https://doi.org/10.6028/NIST.AI.600-1,neurorightsを監査チェックリストへ落とし込む必要。,制度統合KPIマトリクスを proposals.md に追加,"担当: ガバナンス委員会, 前提: 法域マッピング, 完了条件: 監査基準と停止条件の運用承認"
